name,team
Jonathan India,CIN
Elly De La Cruz,CIN
Tyler Stephenson,CIN
TJ Friedl,CIN
Spencer Steer,CIN
Jake Fraley,CIN
Ty France,CIN
Dominic Smith,CIN
Noelvi Marte,CIN
