name,team
Charlie Blackmon,COL
Ezequiel Tovar,COL
Brenton Doyle,COL
Ryan McMahon,COL
Brendan Rodgers,COL
Michael Toglia,COL
Jake Cave,COL
Nolan Jones,COL
Drew Romo,COL
