name,team
Gleyber Torres,NYY
Juan Soto,NYY
Aaron Judge,NYY
Austin Wells,NYY
Giancarlo Stanton,NYY
Jazz Chisholm,NYY
Anthony Rizzo,NYY
Anthony Volpe,NYY
Alex Verdugo,NYY
