name,team
Taylor Ward,LAA
Zach Neto,LAA
Nolan Schanuel,LAA
Anthony Rendon,LAA
Logan O'Hoppe,LAA
Mickey Moniak,LAA
Brandon Drury,LAA
Jo Adell,LAA
Niko Kavadas,LAA
