name,pa,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_hit_ground,b_hit_fly,b_hit_line_drive,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,straightaway_percent,linedrives_percent,hp_to_1b,sprint_speed,Dir,ER,ZR,infield,outfield,Both
Ben Rortvedt,79,5,1,0,2,19,11,0.118,0.221,0.241,0.462,0,0,3,2,3,11,17,7,6,88,16.3,3,6.1,34.7,32.7,20.4,4.63,25.8,L,0.00888888888888889,0.991,TRUE,FALSE,FALSE
David Hensley,94,8,1,0,1,35,10,0.119,0.167,0.213,0.380,0,1,4,2,4,8,22,8,1,90.8,2.4,2,4.1,46.9,42.9,24.5,4.53,27.1,R,0.0333333333333333,0.977,FALSE,FALSE,TRUE
Danny Mendick,69,8,3,0,1,15,4,0.185,0.277,0.232,0.509,0,1,4,3,5,7,20,7,4,89.1,11,2,4,40,44,24,4.68,25.6,R,0.0357142857142857,0.985,FALSE,FALSE,TRUE
Brandon Dixon,86,10,4,0,2,31,1,0.203,0.329,0.244,0.573,0,1,4,4,8,11,16,0,6,87,16.5,4,8,32,36,18,4.33,28.4,R,0.00826446280991736,0.992,FALSE,FALSE,TRUE
Jordan Luplow,90,11,3,0,2,27,12,0.208,0.325,0.322,0.647,0,2,8,4,4,10,17,1,6,85.4,14.1,3,6,32,46,10,4.51,27.6,R,0,1.000,FALSE,FALSE,TRUE
Nick Loftin,68,14,5,1,0,12,4,0.323,0.435,0.368,0.803,0,2,7,4,9,8,18,3,2,86.3,10.8,4,7.8,35.3,29.4,23.5,4.54,27.2,R,0,1.000,TRUE,FALSE,FALSE
Mike Brosseau,78,9,2,0,4,20,4,0.205,0.397,0.256,0.653,0,0,5,5,5,13,17,5,3,81.3,13.4,4,7.5,20.8,35.8,18.9,4.54,27.6,R,0.217391304347826,0.909,TRUE,FALSE,FALSE
Henry Ramos,86,14,3,1,0,21,11,0.243,0.311,0.349,0.660,1,2,4,6,8,6,19,5,5,82.4,13.8,2,3.8,20.8,47.2,24.5,0,27.0,S,0,1.000,FALSE,TRUE,FALSE
Michael Brantley,57,11,2,0,2,2,2,0.278,0.426,0.298,0.724,0,0,4,2,9,12,16,8,2,90.4,14.1,0,0,37.7,28.3,32.1,4.68,25.4,L,0,1.000,FALSE,TRUE,FALSE
Everson Pereira,103,10,4,0,0,40,8,0.151,0.194,0.233,0.427,0,4,5,1,8,11,20,6,2,91.9,10,4,7.5,54.7,35.8,26.4,4.38,28.0,R,0,1.000,FALSE,TRUE,FALSE
Wilyer Abreu,85,16,6,0,2,23,9,0.316,0.474,0.388,0.862,1,3,10,5,9,11,12,4,2,91.3,11.9,5,9.4,49.1,28.3,24.5,0,26.7,L,0.025,0.977,FALSE,TRUE,FALSE
avg,295.486356340289,41.7945425361156,13.2006420545746,1.14285714285714,9.42375601926164,67.131621187801,25.3900481540931,0.231,0.376,0.302,0.678,1.3868378812199,5.6131621187801,21.1187800963082,13.8394863563403,30.4173354735152,38.3242375601926,64.7479935794543,16.6548956661316,13.4189406099518,88.407062600321,12.7,16.1011235955056,7.3,37.3791332263242,36.0,23.1,3.73,26.8,,0.0386557292834974,0.973,,,
