name,pa,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_hit_ground,b_hit_fly,b_hit_line_drive,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,straightaway_percent,linedrives_percent,hp_to_1b,sprint_speed,Dir,ER,ZR,infield,outfield,Both
Josh Rojas,350,56,17,0,4,81,27,0.245,0.338,0.303,0.641,0,12,24,13,40,55,76,21,8,87.1,13,9,3.8,28.9,31.8,26.4,4.45,26.7,L,0.0919540229885057,0.969,FALSE,FALSE,TRUE
Kerry Carpenter,459,77,17,2,20,115,32,0.278,0.471,0.340,0.811,0,6,41,28,47,56,96,21,14,90.1,13.1,31,10.2,44,32.6,22.7,4.32,28.1,L,0.0189873417721519,0.982,FALSE,TRUE,FALSE
Ryan McMahon,627,76,31,3,23,198,68,0.240,0.431,0.322,0.753,5,5,35,34,64,67,124,29,6,90.8,9.7,41,11.4,44.2,38.6,26.1,4.62,25.8,L,0.103174603174603,0.972,TRUE,FALSE,FALSE
Jake Bauers,272,22,15,0,12,95,27,0.202,0.413,0.279,0.692,2,3,8,19,19,30,48,14,8,89.1,13.8,28,18.7,48.7,35.3,22.7,4.42,27.3,L,0.014018691588785,0.987,FALSE,FALSE,TRUE
Nick Gordon,93,8,5,1,2,11,1,0.176,0.319,0.185,0.504,0,0,3,4,9,18,35,8,4,89.1,9.2,4,4.9,37,35.8,21,4.43,27.4,L,0.0181818181818182,0.987,FALSE,FALSE,TRUE
Osleivis Basabe,94,13,5,0,1,25,6,0.218,0.310,0.277,0.587,1,0,10,1,8,5,27,8,3,88.4,-2.3,2,3.2,37.1,38.7,25.8,4.31,28.6,R,0.0666666666666667,0.974,FALSE,FALSE,TRUE
DJ LeMahieu,562,81,22,3,15,125,60,0.243,0.390,0.327,0.717,2,2,44,21,56,44,164,28,17,89.6,3.8,22,5.9,43,40.6,22.5,4.83,25.7,R,0.00707547169811321,0.995,TRUE,FALSE,FALSE
Marcus Semien,753,112,40,4,29,110,72,0.276,0.478,0.348,0.826,3,14,49,48,88,152,143,45,40,88.4,19.1,37,6.5,37,32.9,23.5,4.42,28.7,R,0.0222222222222222,0.991,TRUE,FALSE,FALSE
Joshua Palacios,264,38,9,2,10,56,12,0.239,0.413,0.279,0.692,0,5,17,13,29,36,76,15,7,91.3,7.7,19,9.8,45.4,39.2,23.2,4.28,28.2,L,0.0267857142857143,0.975,FALSE,TRUE,FALSE
Jon Berti,424,88,16,3,7,77,29,0.294,0.405,0.344,0.749,6,16,48,15,49,48,123,20,11,85.4,2.4,15,4.7,31.3,38.6,21.8,4.3,29.3,R,0.0967741935483871,0.967,FALSE,FALSE,TRUE
Byron Buxton,347,28,17,1,17,109,35,0.207,0.438,0.294,0.732,0,9,14,16,33,48,49,13,24,91.5,20.1,29,14.6,45.7,33.7,24.1,4.17,29.3,R,0,1.000,TRUE,FALSE,FALSE
J.D. Martinez,479,55,27,2,33,149,34,0.271,0.572,0.321,0.893,0,1,27,40,50,68,77,20,9,93.4,16.9,50,17.1,55.1,37.7,24.3,4.7,26.1,R,,0,FALSE,TRUE,FALSE
Max Kepler,491,66,22,2,24,106,45,0.260,0.484,0.332,0.816,1,1,33,26,55,78,93,29,20,91.9,14.7,41,12.2,47.9,35.7,25.6,4.35,27.4,L,0.00454545454545455,0.996,FALSE,TRUE,FALSE
Tommy Pham,481,63,27,3,16,106,47,0.256,0.446,0.328,0.774,3,22,33,21,55,49,125,32,8,92.3,5.7,35,10.7,49.1,40.2,27.6,4.52,27.8,R,0.0303030303030303,0.972,FALSE,TRUE,FALSE
Parker Meadows,145,20,4,2,3,37,17,0.232,0.368,0.331,0.699,1,8,8,3,18,19,24,9,7,89.3,18.3,8,9,34.8,42.7,30.3,4.21,29.0,L,0,1.000,FALSE,TRUE,FALSE
Amed Rosario,545,95,25,8,6,99,29,0.263,0.378,0.305,0.683,2,15,53,12,67,63,146,43,26,88.3,7.6,14,3.4,39.4,40.6,27.1,4.23,29.4,R,0.0916030534351145,0.971,TRUE,FALSE,FALSE
Mookie Betts,693,99,40,1,39,107,96,0.307,0.579,0.408,0.987,3,14,36,46,96,126,97,45,34,92.4,20.6,60,12.4,48.5,35.3,29.3,4.48,27.2,R,0.0204918032786885,0.988,FALSE,FALSE,TRUE
Raimel Tapia,169,27,4,1,3,40,17,0.236,0.338,0.317,0.655,2,10,15,6,14,14,51,8,2,85.4,1.6,7,6.4,34.5,42.7,20,4.26,28.7,L,0,1.000,FALSE,TRUE,FALSE
Andrew Benintendi,621,106,34,2,5,89,52,0.262,0.356,0.326,0.682,2,13,40,25,81,102,149,54,24,86.6,14.5,14,2.9,27,41.3,28.5,4.43,27.3,L,0.014760147601476,0.986,FALSE,TRUE,FALSE
David Fletcher,97,19,1,0,2,9,7,0.247,0.326,0.302,0.628,0,0,7,3,12,12,33,6,8,83.3,9.3,0,0,19.8,38.3,22.2,4.55,26.2,R,0.0263157894736842,0.990,TRUE,FALSE,FALSE
Matt Duffy,209,38,8,0,2,39,12,0.251,0.325,0.306,0.631,0,1,19,7,22,23,59,17,6,86.4,8.8,4,2.6,33.1,39,26,4.6,27.0,R,0.078125,0.957,TRUE,FALSE,FALSE
Brent Rooker,526,63,20,1,30,172,49,0.246,0.488,0.329,0.817,0,4,24,37,52,72,74,20,14,91.6,17.6,46,15.6,49.5,40,24.7,4.62,27.1,R,0.0353982300884956,0.967,FALSE,TRUE,FALSE
Eric Hosmer,100,17,3,0,2,25,6,0.234,0.330,0.280,0.610,0,0,9,3,10,9,31,1,6,85.1,3.4,4,5.8,34.8,43.5,15.9,4.6,25.0,L,0.0169491525423729,0.985,TRUE,FALSE,FALSE
Austin Nola,154,15,3,0,1,31,18,0.146,0.192,0.260,0.452,0,0,8,2,8,19,40,14,11,85.8,15,1,1,25.2,35,21.4,4.77,26.2,R,0.00278551532033426,0.997,TRUE,FALSE,FALSE
Connor Joe,472,56,31,4,11,110,50,0.247,0.421,0.339,0.760,5,3,29,19,54,58,79,31,33,88.9,16.7,25,8.2,41.8,38.8,28,4.56,27.1,R,0.00475059382422803,0.996,FALSE,FALSE,TRUE
Martin Maldonado,407,42,12,0,15,139,30,0.191,0.348,0.258,0.606,0,0,15,22,32,52,76,17,21,88.4,18.1,20,8.5,40,30.6,20.9,5.05,23.2,R,0.0689655172413793,0.960,TRUE,FALSE,FALSE
Alec Bohm,611,102,31,0,20,94,42,0.274,0.437,0.327,0.764,1,4,47,27,79,85,153,54,24,89.4,11.1,27,5.7,41.7,42.1,28.5,4.65,26.6,R,0.018595041322314,0.986,TRUE,FALSE,FALSE
Anthony Rendon,183,27,6,0,2,27,25,0.236,0.318,0.361,0.679,0,2,7,9,19,31,37,15,6,90.1,16.2,6,4.8,41.6,38.4,28,4.62,26.5,R,0.205128205128205,0.927,TRUE,FALSE,FALSE
Victor Caratini,226,41,4,0,7,45,19,0.259,0.383,0.327,0.710,1,1,18,9,25,23,66,9,9,91.3,10.8,8,5,44.7,44,21.4,4.83,25.0,S,0.272727272727273,0.912,TRUE,FALSE,FALSE
Bryson Stott,640,115,32,2,15,100,39,0.280,0.419,0.329,0.748,3,31,62,29,73,85,172,48,21,88.1,10.1,23,4.7,35.2,35.4,25.3,4.23,28.8,L,0.0212765957446809,0.992,TRUE,FALSE,FALSE
Jake Cronenworth,522,64,24,7,10,97,46,0.229,0.378,0.312,0.690,1,6,28,21,56,86,110,40,26,87.4,15.2,16,4.4,33.2,37.3,26.2,4.32,28.3,L,0.00373134328358209,0.997,TRUE,FALSE,FALSE
Jazz Chisholm,383,55,12,2,19,118,26,0.250,0.457,0.304,0.761,3,22,32,24,32,42,87,8,11,90.3,10.7,29,12.2,41.8,35.9,16.9,4.15,28.4,L,0.0175438596491228,0.983,FALSE,TRUE,FALSE
Mauricio Dubon,492,91,26,3,10,70,19,0.278,0.411,0.309,0.720,2,7,39,16,75,74,143,35,17,87,9.5,18,4.5,29.5,38.8,27.8,4.26,28.1,R,0,1.000,TRUE,FALSE,FALSE
Spencer Torkelson,684,75,34,1,31,171,67,0.233,0.446,0.313,0.759,0,3,27,46,68,93,122,38,44,91.8,17.1,62,14.1,50.9,30.7,24.5,4.6,27.4,R,0.00967458223394899,0.991,TRUE,FALSE,FALSE
Joey Gallo,332,19,9,1,21,142,48,0.177,0.440,0.301,0.741,1,1,9,26,15,32,32,5,20,93,26.4,27,19.3,52.9,21.4,14.3,4.69,26.6,L,0.00564971751412429,0.995,FALSE,FALSE,TRUE
Austin Hays,566,89,36,2,16,141,38,0.275,0.444,0.325,0.769,1,5,50,35,58,79,122,19,20,89.4,10.4,34,8.9,40.1,38.5,20.3,4.42,27.4,R,0,1.000,FALSE,TRUE,FALSE
Endy Rodriguez,204,29,7,2,3,49,17,0.220,0.328,0.284,0.612,0,0,5,9,27,37,40,12,8,89.1,16.5,7,5.1,36.2,27.5,28.3,4.29,27.8,S,0,1.000,TRUE,FALSE,FALSE
Jake Fraley,380,53,18,0,15,71,37,0.256,0.443,0.339,0.782,5,21,18,24,44,49,84,25,22,84.6,16.5,17,6.4,30.8,34.2,25.9,4.24,28.0,L,0.0072992700729927,0.993,FALSE,TRUE,FALSE
Jacob Stallings,276,29,14,0,3,67,27,0.191,0.286,0.278,0.564,0,0,14,6,26,43,72,12,6,89.7,9.1,10,5.6,40.2,36.3,21.2,5.07,23.6,R,0.00872093023255814,0.992,TRUE,FALSE,FALSE
Austin Hedges,212,28,5,0,1,47,11,0.184,0.227,0.234,0.461,0,1,16,5,13,26,53,20,15,87.2,15.4,1,0.7,31.1,38.4,23.8,5.03,24.5,R,0.0118043844856661,0.989,TRUE,FALSE,FALSE
Masataka Yoshida,580,104,33,3,15,81,34,0.289,0.445,0.338,0.783,0,8,57,30,67,59,195,31,18,89,3.9,30,6.6,40.6,35.2,21.4,4.36,26.2,L,0.024,0.977,FALSE,TRUE,FALSE
Lars Nootbaar,503,73,23,1,14,99,72,0.261,0.418,0.367,0.785,1,11,46,19,46,57,121,28,14,89.1,7.2,29,8.8,37.8,42.9,22.4,4.3,27.8,L,0.00746268656716418,0.993,FALSE,TRUE,FALSE
Christian Bethancourt,332,44,16,0,11,91,13,0.225,0.381,0.254,0.635,0,1,26,16,29,40,87,13,17,88.6,11.3,18,7.9,40.8,35.1,18.4,4.51,27.4,R,0.004739336492891,0.995,TRUE,FALSE,FALSE
Andrew Velazquez,94,9,3,0,2,30,10,0.173,0.284,0.264,0.548,3,13,5,2,7,9,26,3,2,87.7,8.9,2,3.7,24,29.6,18.5,0,28.4,R,0.153846153846154,0.937,FALSE,FALSE,TRUE
Matthew Batten,139,23,6,0,2,30,17,0.258,0.358,0.355,0.713,2,2,15,2,14,18,23,9,10,85,15,1,1.1,25.3,28.6,25.3,4.29,28.6,R,0.0307692307692308,0.984,TRUE,FALSE,FALSE
Triston Casas,502,66,21,2,24,126,70,0.263,0.490,0.367,0.857,0,0,25,32,54,64,86,24,18,91.1,15.7,40,13.1,46.6,39,25.6,4.71,24.9,L,0.00582750582750583,0.995,TRUE,FALSE,FALSE
Chad Wallach,172,18,5,1,7,57,13,0.197,0.376,0.259,0.635,1,0,7,10,14,21,33,9,8,87.7,16.7,11,10.8,33,34.3,22.5,5.09,24.3,R,0.00436681222707424,0.996,TRUE,FALSE,FALSE
Ian Happ,691,84,35,4,21,153,99,0.248,0.431,0.360,0.791,3,14,49,28,67,83,132,39,30,89.9,13,39,9,39,36.7,25.6,4.32,27.7,S,0.0118577075098814,0.989,FALSE,TRUE,FALSE
Josh Smith,232,21,8,1,6,55,25,0.185,0.328,0.304,0.632,0,1,14,9,13,37,52,13,5,88.5,12.5,15,10.5,36.4,35,18.2,4.29,28.5,L,0.132075471698113,0.956,FALSE,FALSE,TRUE
Jake Meyers,341,43,16,1,10,88,26,0.227,0.382,0.296,0.678,2,5,24,16,30,52,69,17,14,86,13.9,14,6.3,27.9,32.4,21.2,4.32,29.2,R,0.0167364016736402,0.984,FALSE,TRUE,FALSE
Pete Alonso,658,54,21,2,46,151,65,0.217,0.504,0.318,0.822,1,4,24,52,47,97,129,33,39,89.5,18.2,62,14.7,40.1,32.8,19,4.64,26.0,R,0.00610376398779247,0.995,TRUE,FALSE,FALSE
Geraldo Perdomo,495,70,20,4,6,86,64,0.246,0.359,0.353,0.712,4,16,35,11,54,81,105,23,28,85.7,16.4,3,0.9,19.5,34.5,23.3,4.45,27.2,S,0.0256410256410256,0.991,TRUE,FALSE,FALSE
Seiya Suzuki,583,90,31,6,20,130,59,0.285,0.485,0.357,0.842,7,6,52,25,69,69,119,38,14,91.4,10.8,41,10.5,48,41.3,28.6,4.34,28.5,R,0.0135746606334842,0.987,FALSE,TRUE,FALSE
Jose Herrera,120,16,5,0,0,30,13,0.208,0.257,0.296,0.553,0,1,5,4,12,13,31,8,3,85.9,11.3,0,0,19.5,26,27.3,4.76,25.4,S,0,1.000,TRUE,FALSE,FALSE
Eloy Jimenez,489,83,23,0,18,93,30,0.272,0.441,0.317,0.758,0,0,50,22,52,50,144,21,26,90.9,5.7,34,9.3,46.8,40,20,4.6,26.5,R,0.103703703703704,0.960,TRUE,FALSE,FALSE
Brendan Donovan,371,71,10,1,11,53,33,0.284,0.422,0.365,0.787,1,5,34,11,47,51,95,23,14,89.3,10.6,16,5.8,40.6,29.7,25.4,4.4,27.1,L,0.0174418604651163,0.989,FALSE,FALSE,TRUE
Miguel Rojas,423,69,16,1,5,48,26,0.236,0.322,0.290,0.612,3,8,35,8,48,64,124,40,23,87.3,11,10,2.9,32,36,26.2,4.57,26.4,R,0.0410958904109589,0.986,TRUE,FALSE,FALSE
Bo Bichette,601,122,30,3,20,115,27,0.306,0.475,0.339,0.814,3,5,53,30,92,56,159,49,17,90.2,6.2,44,9.6,44.9,33.7,30.9,4.52,27.1,R,0.0655737704918033,0.980,TRUE,FALSE,FALSE
CJ Abrams,614,86,28,6,18,118,32,0.245,0.412,0.300,0.712,4,47,52,22,63,91,150,30,41,87.4,13.5,31,6.9,35.9,39.9,20.6,4.22,28.6,L,0.0897959183673469,0.966,TRUE,FALSE,FALSE
Tucker Barnhart,123,18,3,0,1,42,12,0.202,0.257,0.285,0.542,0,1,8,4,10,10,23,5,7,87,16.5,1,1.5,23.5,32.4,23.5,5,23.2,L,0.00664451827242525,0.994,TRUE,FALSE,FALSE
Riley Greene,416,75,19,4,11,114,35,0.288,0.447,0.349,0.796,0,7,33,17,59,41,97,18,1,91.6,6.6,30,11.3,47.3,37.6,28.9,4.26,28.1,L,0.0261780104712042,0.975,FALSE,TRUE,FALSE
Edouard Julien,408,56,16,1,16,128,64,0.263,0.459,0.381,0.840,0,3,22,27,40,21,85,17,2,89.5,8,28,13.1,44.9,31.3,26.6,4.39,27.0,L,0.0206185567010309,0.992,TRUE,FALSE,FALSE
Alex Call,439,52,14,1,8,78,53,0.200,0.307,0.307,0.614,8,9,28,13,33,74,91,28,34,86.8,17,16,5.3,30.1,34.4,20.2,4.29,28.8,R,0.00346020761245675,0.997,FALSE,TRUE,FALSE
Kyle Higashioka,260,34,13,0,10,74,14,0.236,0.413,0.274,0.687,0,0,17,13,27,34,52,16,13,90.1,15.5,19,11,48.3,32,25,4.81,25.6,R,0.0135746606334842,0.987,TRUE,FALSE,FALSE
Jonah Heim,501,72,28,0,18,96,40,0.258,0.438,0.317,0.755,0,2,31,28,59,81,101,33,28,89.2,17.3,29,8,38.5,33,26.1,4.77,25.8,S,0.00213219616204691,0.998,TRUE,FALSE,FALSE
Brandon Crawford,320,36,11,1,7,81,28,0.194,0.314,0.273,0.587,0,3,16,12,27,53,73,15,11,89.8,14,21,10.1,43,38.2,20.3,4.53,25.8,L,0.116504854368932,0.964,TRUE,FALSE,FALSE
Harold Ramirez,434,92,19,2,12,79,22,0.313,0.460,0.353,0.813,3,5,63,21,41,42,118,26,15,89.1,6.1,15,4.6,40.7,39.4,20.8,4.36,27.8,R,0.0229007633587786,0.990,FALSE,FALSE,TRUE
Josh Bell,617,85,28,0,22,134,63,0.247,0.419,0.325,0.744,1,0,42,34,58,74,161,31,15,90.1,9.3,42,10.1,43,31.7,21.4,4.69,25.9,S,0.0104166666666667,0.991,TRUE,FALSE,FALSE
Ke'Bryan Hayes,525,81,31,7,15,104,28,0.271,0.453,0.309,0.762,6,10,50,21,63,82,115,34,27,92.2,13.2,29,7.4,48.3,41.7,24.9,4.52,27.1,R,0.0645161290322581,0.984,TRUE,FALSE,FALSE
Freddie Freeman,730,121,59,2,29,121,72,0.331,0.567,0.410,0.977,1,23,39,54,116,100,148,45,17,90,15.2,58,11.1,42.2,36.5,30.9,4.53,26.7,L,0.000884173297966401,0.999,TRUE,FALSE,FALSE
Royce Lewis,239,45,7,0,15,55,20,0.309,0.548,0.372,0.920,1,6,17,17,33,30,39,9,17,90.2,16.2,19,11.7,42,37.7,25.9,4.35,28.2,R,0.151515151515152,0.955,TRUE,FALSE,FALSE
Jose Ramirez,691,107,36,5,24,73,73,0.282,0.475,0.356,0.831,6,28,52,37,82,118,138,59,55,90,18,38,7,40.4,30.5,26.3,4.38,27.8,S,0,1.000,TRUE,FALSE,FALSE
Jordan Diaz,293,41,9,0,10,69,17,0.221,0.364,0.273,0.637,1,0,25,10,25,29,84,17,14,90,5.4,13,6.4,43.6,38.2,20.6,4.81,25.3,R,0.0909090909090909,0.957,TRUE,FALSE,FALSE
Hunter Renfroe,548,65,31,0,20,125,44,0.233,0.416,0.297,0.713,0,0,39,25,52,70,122,29,38,88.3,15,23,6.1,39.1,33.2,21.8,4.65,26.8,R,0.02,0.981,FALSE,FALSE,TRUE
David Peralta,422,69,25,1,7,72,20,0.259,0.381,0.294,0.675,1,4,39,14,48,57,122,31,12,89.3,8.2,16,4.9,44.2,35.7,25.3,4.52,27.0,L,0.00985221674876847,0.990,FALSE,TRUE,FALSE
Stuart Fairchild,255,27,16,2,5,69,25,0.228,0.388,0.321,0.709,3,10,12,11,27,33,50,10,12,85.9,14.3,12,7.7,29.7,27.1,23.9,4.28,29.2,R,0.0131578947368421,0.987,FALSE,TRUE,FALSE
Tyrone Taylor,243,26,17,1,10,55,8,0.234,0.446,0.267,0.713,0,9,5,21,28,35,55,17,16,87.7,18.2,12,6.8,39.5,35,25.4,4.4,28.8,R,0,1.000,FALSE,TRUE,FALSE
Whit Merrifield,592,111,27,0,11,101,36,0.272,0.382,0.318,0.700,10,26,51,26,71,90,132,46,32,85.1,14.4,11,2.4,24.3,40.5,26.1,4.3,28.8,R,0.0212765957446809,0.987,FALSE,FALSE,TRUE
J.P. Crawford,638,88,35,0,19,125,94,0.266,0.438,0.380,0.818,0,2,38,24,80,74,126,35,36,88.3,15.1,20,4.8,36.2,34.1,28,4.55,26.7,L,0.0875,0.973,TRUE,FALSE,FALSE
Sal Frelick,223,34,9,1,3,37,28,0.246,0.351,0.341,0.692,0,7,21,6,20,19,63,11,14,83.3,8.1,4,2.5,23.6,37.6,21.7,4.18,28.6,L,0,1.000,FALSE,TRUE,FALSE
Matt McLain,403,63,23,4,16,115,31,0.290,0.507,0.357,0.864,5,14,34,23,49,43,66,19,16,89.3,13.8,27,10.8,42.4,38.4,27.2,4.23,29.0,R,0.05,0.984,TRUE,FALSE,FALSE
Tyler Soderstrom,138,16,1,0,3,43,11,0.160,0.240,0.232,0.472,0,0,8,2,10,16,37,6,4,89.3,5.7,5,6,39.8,37.3,19.3,4.59,25.7,L,0.00613496932515337,0.994,TRUE,FALSE,FALSE
Nathaniel Lowe,724,105,38,3,17,165,93,0.262,0.414,0.360,0.774,0,1,52,25,86,68,170,36,23,89.8,7.2,30,6.5,41.6,41.9,26.7,4.38,27.3,L,0.00245700245700246,0.998,TRUE,FALSE,FALSE
Yoan Moncada,357,55,20,1,11,107,20,0.260,0.425,0.305,0.730,0,1,20,20,47,34,75,21,11,89.4,12.3,23,10.1,39,35.1,29.8,4.6,26.4,S,0,1.000,TRUE,FALSE,FALSE
Ceddanne Rafaela,89,12,6,0,2,28,4,0.241,0.386,0.281,0.667,1,3,6,4,10,9,18,7,2,85.5,8.1,3,5.4,33.9,35.7,30.4,4.19,28.7,R,0.0333333333333333,0.975,FALSE,FALSE,TRUE
Travis Jankowski,287,51,12,1,1,42,35,0.263,0.332,0.357,0.689,1,19,32,4,28,35,76,20,11,85.4,8.1,0,0,25.5,39.4,23.6,4.24,29.0,L,0,1.000,FALSE,TRUE,FALSE
Oscar Colas,263,39,9,0,5,71,12,0.216,0.314,0.257,0.571,3,4,29,6,18,22,64,21,17,88.9,7.1,14,7.9,40.4,40.4,22.5,4.43,27.0,L,0.0652173913043478,0.977,TRUE,FALSE,FALSE
Tyler Nevin,111,13,3,1,2,25,12,0.200,0.316,0.306,0.622,1,0,8,4,7,20,24,3,5,89.3,13.7,5,7,38,38,14.1,4.78,25.7,R,0.0454545454545455,0.964,FALSE,FALSE,TRUE
Nick Gonzales,128,13,8,1,2,36,6,0.209,0.348,0.268,0.616,1,0,9,7,8,12,39,3,3,85.5,8.7,3,3.7,26.8,36.6,14.6,4.37,28.8,R,0.0526315789473684,0.978,TRUE,FALSE,FALSE
Dominic Smith,586,100,21,1,12,91,47,0.254,0.366,0.326,0.692,1,1,46,18,69,95,141,46,21,86.3,12.8,29,6.6,30.8,38.6,26.3,4.56,25.8,L,0.00669856459330144,0.994,TRUE,FALSE,FALSE
Brett Baty,389,54,12,0,9,109,29,0.212,0.323,0.275,0.598,0,2,26,10,39,40,99,23,9,89.5,6.6,19,7.7,44.3,32.1,25.2,4.39,27.3,L,0.147058823529412,0.956,FALSE,FALSE,TRUE
Ramon Laureano,404,50,18,4,9,114,33,0.224,0.371,0.304,0.675,1,12,32,14,35,49,82,19,17,88.2,12.9,24,9.7,35.9,31.5,21.8,4.4,27.9,R,0,1.000,TRUE,FALSE,FALSE
Kolten Wong,250,31,6,0,4,53,18,0.183,0.263,0.256,0.519,2,3,14,10,16,42,66,13,11,85.6,14,3,1.7,27,30.5,17.2,4.44,26.7,L,0.043010752688172,0.984,TRUE,FALSE,FALSE
Yu Chang,112,9,2,0,6,34,3,0.162,0.352,0.200,0.552,0,4,4,7,6,14,29,9,4,88.8,9.8,4,5.5,38.4,27.4,20.5,4.56,28.2,R,0.0232558139534884,0.992,TRUE,FALSE,FALSE
Robbie Grossman,420,50,23,1,10,98,57,0.238,0.394,0.340,0.734,0,1,21,20,43,73,64,20,22,88.2,20.2,18,6.8,37.3,37.6,24,4.36,27.8,S,0.0337078651685393,0.968,FALSE,TRUE,FALSE
Trevor Larnach,212,21,7,3,8,72,27,0.213,0.415,0.311,0.726,1,1,12,11,16,32,27,10,5,90.1,17.5,15,13.3,49.6,42.5,23,4.51,26.7,L,0,1.000,FALSE,TRUE,FALSE
Freddy Fermin,235,41,10,1,9,50,13,0.281,0.461,0.321,0.782,0,0,23,12,26,24,58,17,10,89.9,11.7,17,9.9,42.7,37.4,25.7,4.59,27.1,R,0.0191489361702128,0.982,TRUE,FALSE,FALSE
Leody Taveras,554,88,31,3,14,117,35,0.266,0.421,0.312,0.733,4,14,50,21,65,70,134,40,20,90.1,10.2,29,7.2,43.1,42.1,26.4,4.24,29.1,S,0.00280112044817927,0.997,FALSE,TRUE,FALSE
Brian Anderson,361,48,12,3,9,108,36,0.226,0.368,0.310,0.678,3,1,22,18,32,30,80,16,14,87.6,9.9,22,10.3,37.1,43.7,23,4.63,26.4,R,0.0485436893203883,0.976,FALSE,FALSE,TRUE
Luis Robert,595,69,36,1,38,172,30,0.264,0.542,0.315,0.857,4,20,36,45,63,69,101,30,32,89.1,16.1,58,15.4,42.3,30.9,24.7,4.37,28.7,R,0.00810810810810811,0.992,FALSE,TRUE,FALSE
Romy Gonzalez,97,9,4,2,3,36,2,0.194,0.376,0.208,0.584,0,7,5,5,8,7,25,6,3,90.5,5,8,13.6,42.4,30.5,23.7,4.3,29.3,R,0.03125,0.988,FALSE,FALSE,TRUE
Miguel Vargas,304,24,15,4,7,61,38,0.195,0.367,0.305,0.672,2,3,11,12,27,51,65,16,18,86.8,16.6,12,6,31.5,36,21.5,4.32,27.9,R,0.0387596899224806,0.983,TRUE,FALSE,FALSE
Elly De La Cruz,427,56,15,7,13,144,35,0.235,0.410,0.300,0.710,8,35,35,18,38,27,101,20,6,91.2,3.6,21,8.5,45.9,41.5,24,4.13,30.5,S,0.103703703703704,0.960,TRUE,FALSE,FALSE
Taylor Walls,349,39,12,2,8,92,44,0.201,0.333,0.305,0.638,1,22,17,14,30,53,59,16,23,86.7,19.1,7,3.3,28.8,38.2,21.7,4.31,28.2,S,0.0720720720720721,0.975,TRUE,FALSE,FALSE
Brandon Lowe,436,50,15,1,21,119,50,0.231,0.443,0.328,0.771,0,7,30,22,33,58,78,20,18,91.4,16,28,10.7,47.5,37.9,20.3,4.33,27.3,L,0.0506329113924051,0.980,TRUE,FALSE,FALSE
Blake Perkins,168,20,7,0,4,46,23,0.217,0.350,0.325,0.675,2,5,11,9,11,20,32,5,11,85.8,14.8,5,5.1,29.3,29.3,16.2,4.14,30.0,S,0.00934579439252336,0.991,FALSE,TRUE,FALSE
Christian Vazquez,355,54,13,0,6,82,25,0.223,0.318,0.280,0.598,0,1,23,17,33,41,83,36,14,86.7,10,8,3.2,32.8,41.7,27.9,4.78,25.0,R,0.00961538461538462,0.991,FALSE,FALSE,TRUE
Jose Abreu,594,86,23,1,18,130,42,0.237,0.383,0.296,0.679,1,0,48,21,59,70,139,45,30,89,10.8,36,8.7,41.6,39.4,26,4.76,25.5,R,0,1.000,FALSE,TRUE,FALSE
Rafael Devers,656,90,34,0,33,126,62,0.271,0.500,0.351,0.851,1,5,42,54,61,76,153,32,37,93.1,12.4,58,12.7,55.1,39.8,20.6,4.54,26.0,L,0.182692307692308,0.949,TRUE,FALSE,FALSE
Michael Toglia,152,14,5,0,4,50,10,0.163,0.284,0.224,0.508,1,1,4,7,12,23,31,11,3,90.2,16.7,5,5.5,44,29.7,25.3,4.4,28.0,S,0.00444444444444444,0.996,FALSE,FALSE,TRUE
Vidal Brujan,84,11,2,0,0,21,5,0.171,0.197,0.241,0.438,2,3,7,1,5,12,23,5,3,86,12,1,1.8,23.2,32.1,17.9,0,26.9,S,0,1.000,TRUE,FALSE,FALSE
Jake McCarthy,312,53,7,5,2,62,26,0.243,0.326,0.318,0.644,4,26,30,7,30,35,89,16,12,85.3,7.5,5,2.3,23.7,30.1,21,4.18,30.0,L,0.0152284263959391,0.985,FALSE,TRUE,FALSE
Jonah Bride,106,12,3,0,0,22,11,0.170,0.205,0.286,0.491,1,0,3,2,10,10,32,9,3,89,4.1,3,4.3,40.6,36.2,27.5,4.52,27.1,R,0.0625,0.974,TRUE,FALSE,FALSE
Nick Senzel,330,48,10,0,13,74,26,0.236,0.399,0.297,0.696,2,6,21,17,32,41,76,19,21,87.4,15.2,11,4.8,34.1,31.9,23.1,4.51,28.3,R,0.0555555555555556,0.973,FALSE,FALSE,TRUE
Myles Straw,518,88,18,3,1,97,42,0.238,0.297,0.301,0.598,6,20,52,4,54,74,131,37,20,86.3,9.4,2,0.5,23.3,40.3,25.5,4.14,29.2,R,0,1.000,FALSE,TRUE,FALSE
Zach Remillard,160,29,7,0,1,48,8,0.252,0.320,0.295,0.615,3,4,21,2,14,12,36,6,12,85.7,11.9,1,1,20.4,38.8,19.4,4.47,28.4,R,0.0555555555555556,0.976,FALSE,FALSE,TRUE
Riley Adams,158,20,13,2,4,45,11,0.273,0.476,0.331,0.807,0,0,11,9,19,16,23,15,7,89.9,18.1,5,5,41,26,34,4.68,26.2,R,0.0068259385665529,0.993,TRUE,FALSE,FALSE
