name,team
Ian Happ,CHC
Isaac Paredes,CHC
Cody Bellinger,CHC
Seiya Suzuki,CHC
Patrick Wisdom,CHC
Nico Hoerner,CHC
Dansby Swanson,CHC
Pete Crow-Armstrong,CHC
Miguel Amaya,CHC
