name,team
Max Schuemann,OAK
Daz Cameron,OAK
Brent Rooker,OAK
Shea Langeliers,OAK
JJ Bleday,OAK
Tyler Nevin,OAK
Zack Gelof,OAK
Armando Alvarez,OAK
Jacob Wilson,OAK
