name,team
Charlie Blackmon,COL
Ezequiel Tovar,COL
Brenton Doyle,COL
Ryan McMahon,COL
Brendan Rodgers,COL
Michael Toglia,COL
Jacob Stallings,COL
Nolan Jones,COL
Jordan Beck,COL
