name,team
Marcus Semien,TEX
Corey Seager,TEX
Adolis Garcia,TEX
Josh Jung,TEX
Nathaniel Lowe,TEX
Wyatt Langford,TEX
Jonah Heim,TEX
Justin Foscue,TEX
Ezequiel Duran,TEX
