name,team
Shohei Ohtani,LAD
Mookie Betts,LAD
Freddie Freeman,LAD
Will Smith,LAD
Teoscar Hernandez,LAD
Tommy Edman,LAD
Miguel Rojas,LAD
Chris Taylor,LAD
Enrique Hernandez,LAD
