name,team
Nicky Lopez,CWS
Luis Robert,CWS
Andrew Benintendi,CWS
Andrew Vaughn,CWS
Gavin Sheets,CWS
Korey Lee,CWS
Dominic Fletcher,CWS
Lenyn Sosa,CWS
Miguel Vargas,CWS
