name,team
Jarren Duran,BOS
Wilyer Abreu,BOS
Triston Casas,BOS
Rafael Devers,BOS
Tyler O'Neill,BOS
Masataka Yoshida,BOS
Connor Wong,BOS
Ceddanne Rafaela,BOS
Nick Sogard,BOS
