name,team
J.P. Crawford,SEA
Julio Rodriguez,SEA
Cal Raleigh,SEA
Randy Arozarena,SEA
Jorge Polanco,SEA
Luke Raley,SEA
Mitch Haniger,SEA
Josh Rojas,SEA
Victor Robles,SEA
