name,team
Luis Arraez,SD
Jurickson Profar,SD
Jake Cronenworth,SD
Manny Machado,SD
Xander Bogaerts,SD
Jackson Merrill,SD
David Peralta,SD
Kyle Higashioka,SD
Mason McCoy,SD
