name,team
Jonathan India,CIN
Elly De La Cruz,CIN
Tyler Stephenson,CIN
Spencer Steer,CIN
Ty France,CIN
Rece Hinds,CIN
Amed Rosario,CIN
Santiago Espinal,CIN
Noelvi Marte,CIN
