name,team
Colton Cowser,BAL
Adley Rutschman,BAL
Gunnar Henderson,BAL
Anthony Santander,BAL
Ryan O'Hearn,BAL
Eloy Jimenez,BAL
Jackson Holliday,BAL
Cedric Mullins,BAL
Coby Mayo,BAL
