name,team
Masyn Winn,STL
Luken Baker,STL
Nolan Arenado,STL
Paul Goldschmidt,STL
Jordan Walker,STL
Brendan Donovan,STL
Pedro Pages,STL
Lars Nootbaar,STL
Michael Siani,STL
