name,team
Tyler Fitzgerald,SF
Mark Canha,SF
Heliot Ramos,SF
Matt Chapman,SF
Jerar Encarnacion,SF
Patrick Bailey,SF
Casey Schmitt,SF
Curt Casali,SF
Grant McCray,SF
