name,team
Shohei Ohtani,LAD
Mookie Betts,LAD
Freddie Freeman,LAD
Teoscar Hernandez,LAD
Gavin Lux,LAD
Will Smith,LAD
Max Muncy,LAD
Miguel Rojas,LAD
Tommy Edman,LAD
