name,team
Willi Castro,MIN
Trevor Larnach,MIN
Matt Wallner,MIN
Royce Lewis,MIN
Max Kepler,MIN
Carlos Santana,MIN
Ryan Jeffers,MIN
Brooks Lee,MIN
Edouard Julien,MIN
