name,team
Isiah Kiner-Falefa,PIT
Bryan Reynolds,PIT
Connor Joe,PIT
Andrew McCutchen,PIT
Oneil Cruz,PIT
Nick Gonzales,PIT
Bryan De La Cruz,PIT
Henry Davis,PIT
Jared Triolo,PIT
