name,team
Kyle Schwarber,PHI
Trea Turner,PHI
Bryce Harper,PHI
Alec Bohm,PHI
Nick Castellanos,PHI
Bryson Stott,PHI
J.T. Realmuto,PHI
Brandon Marsh,PHI
Austin Hays,PHI
