name,team
Steven Kwan,CLE
Lane Thomas,CLE
Jose Ramirez,CLE
David Fry,CLE
Josh Naylor,CLE
Jhonkensy Noel,CLE
Andres Gimenez,CLE
Tyler Freeman,CLE
Austin Hedges,CLE
