Name,PA,1B,2B,3B,HR,BB,SO,SB,CS,Dir
Carmine Lane,77,18,2,0,0,17,9,0,0,
Elisandro Alcantara,103,23,7,1,0,10,18,8,0,
Braylin Morel,204,30,17,8,7,21,50,2,2,
Ramon Ramirez,150,25,9,0,8,21,18,6,4,
Ji Hwan Bae,39,7,3,0,1,7,10,2,0,
Raylin Ramos,35,8,3,1,0,0,9,2,1,
Justice Bigbie,485,103,25,1,19,42,77,6,2,
Demetrio Nadal,157,28,6,5,2,24,19,33,10,
Romeo Sanabria,270,42,23,2,8,42,63,4,1,
Matt McLain,180,24,12,1,12,30,37,10,5,
Adrian Gil,190,34,11,0,5,25,21,5,5,
Jay Harry,129,26,9,1,1,14,8,7,1,
Aidan Longwell,130,29,10,0,0,12,19,4,1,
Jonathan Aranda,434,73,23,0,25,64,87,2,2,
Roynier Hernandez,218,51,8,2,0,33,23,6,3,
Alirio Ferrebus,75,17,3,0,1,7,15,3,1,
Miguel Andujar,465,92,30,2,16,47,55,5,3,
Brett Callahan,91,19,3,1,1,16,18,9,2,
Ronny Hernandez,172,34,12,1,3,22,35,1,0,
Will Wagner,287,55,20,2,7,35,50,6,2,L
Jameson Hannah,107,24,5,0,1,15,14,6,1,
Spencer Horwitz,484,91,30,1,10,78,72,9,2,L
Roger Lasso,142,25,7,2,0,32,25,0,2,
Luis Aparicio,117,24,10,1,0,8,5,5,2,
Jose Cordoba,131,27,8,3,1,11,22,4,2,
Jhonny Perdomo,148,34,8,1,2,9,29,16,1,
Blake Rutherford,313,55,24,3,12,24,56,7,2,
Ronny Ugarte,186,36,16,0,3,19,28,2,0,
Bairon Ledesma,245,53,13,0,3,28,27,19,8,
Luken Baker,380,50,22,0,33,59,76,0,0,
Austin Slater,24,5,1,0,1,3,7,1,0,
Yordan Alvarez,11,2,1,0,0,2,1,0,0,
Dylan Carlson,12,2,1,0,0,3,0,0,0,
Nick Allen,162,27,14,1,3,20,16,13,1,
Jose Caballero,40,6,1,0,2,12,4,5,1,
JJ Bleday,133,18,8,2,8,23,18,1,1,
Luis Durango,79,20,2,1,0,9,14,18,1,
Jose Pena,11,3,0,0,0,1,3,1,0,
Victor Valera,33,9,1,0,0,3,6,5,1,
Fernando Peguero,217,43,12,4,2,29,28,20,11,
Jose Escobar,92,24,2,0,1,6,13,6,1,
Milo Rushford,136,23,8,3,3,20,30,9,1,
Eduardo Tait,165,31,12,3,3,12,31,4,2,
Chase Adkison,49,12,2,0,0,4,8,0,0,
Jacob Wilson,111,21,11,0,1,6,11,4,1,R
Devin Saltiban,46,11,2,0,1,3,7,5,1,R
Justin Crawford,390,83,22,8,3,32,69,47,8,L
Alfonso Rivas,260,38,19,3,9,49,50,8,0,
Willy Montero,203,47,9,2,2,16,36,5,4,
Christian Encarnacion-Strand,316,49,21,2,20,33,69,2,0,
Luis Matos,285,56,14,2,12,28,23,15,5,
David Fletcher,380,92,16,3,4,27,24,6,2,
Christopher Morel,134,16,9,2,11,17,41,4,1,
Jacob Hurtubise,455,85,11,10,7,77,63,45,9,
Emmanuel Rivera,129,20,9,3,5,12,18,1,0,
Jared Dickey,127,26,5,4,0,14,13,4,0,
Gustavo Campero,245,34,19,4,12,23,44,20,4,
Vaughn Grissom,468,83,36,4,8,56,66,13,2,
Eddie Park,110,28,2,1,0,14,20,8,0,
Ricardo Cova,106,22,7,0,1,14,33,17,3,
Yeremi Cabrera,211,37,6,6,7,33,28,9,6,
Chase Calabuig,173,32,12,3,4,17,17,1,0,
Derlin Figueroa,157,23,14,0,5,28,29,6,3,
Jose Ochoa,72,19,2,0,0,8,19,3,1,
Rhylan Thomas,346,77,16,2,3,40,28,7,11,
Brett Sullivan,279,48,22,1,7,32,27,9,3,L
Adrian De Leon,146,33,2,1,2,20,40,0,1,
Joendry Vargas,208,37,12,1,7,30,31,19,5,S
Drew Waters,58,7,6,2,2,6,13,2,0,
Tyler Nevin,385,70,22,3,15,38,65,4,0,
Ethan O'Donnell,111,21,4,2,4,12,23,4,0,
Matt Kroon,432,74,31,5,11,46,84,26,9,
Francisco Mejia,92,18,3,1,6,4,21,0,0,
Gavin Tonkel,49,9,3,0,2,1,16,1,0,
Luis Watter,146,35,4,0,2,14,33,9,3,
Brent Diaz,48,8,3,0,2,7,5,0,0,
Robert Calaz,189,30,12,2,7,22,43,6,0,R
Homer Bush,187,39,9,0,3,20,24,22,2,
Starlyn Nunez,215,44,12,3,4,17,29,7,5,
