Name,PA,1B,2B,3B,HR,BB,SO,SB,CS,Dir
Tim Elko,554,92,25,4,28,38,165,0,1,
Luis Chevalier,100,18,3,0,2,21,16,5,4,
Fernando Hernandez,104,18,4,1,0,21,17,3,4,
Jordan Westburg,301,44,15,2,18,29,64,6,0,
David Freitas,129,21,7,0,5,12,24,0,0,
Miles Mastrobuoni,165,22,11,3,2,36,39,9,0,
Eddy Rodriguez,159,27,7,0,4,19,26,8,2,
Carter Howell,551,100,26,8,10,55,109,14,6,
Daniel Perez,205,30,11,2,5,32,40,5,1,
Jamie Westbrook,496,80,20,0,21,67,81,6,4,
Chas McCormick,22,4,0,0,1,4,3,1,0,
Payton Henry,255,50,11,0,9,12,59,0,1,
Luisangel Acuna,569,111,28,2,9,52,106,57,10,R
Junior Marin,19,3,2,0,0,1,4,0,0,
Abimelec Ortiz,454,58,20,4,33,49,126,1,1,L
Yoerny Junco,21,3,2,0,0,4,9,1,2,
Andres Valor,228,37,16,2,5,21,55,21,7,
Samil Dishmey,119,28,1,0,1,14,17,6,6,
Caleb Bartolero,21,4,1,0,0,1,9,1,0,
Jacob Burke,385,64,24,3,6,36,85,19,7,
Jonny DeLuca,326,42,21,2,17,35,55,12,1,R
DaShawn Keirsey,549,103,18,8,15,50,124,39,5,
Daniel Amaral,232,42,9,3,3,28,38,35,4,
Dervy Ventura,226,42,7,6,2,27,27,11,6,
John Cruz,202,33,6,3,10,22,44,9,4,
Noah Mendlinger,458,82,17,2,5,65,51,7,8,
Reminton Batista,122,18,8,5,1,9,23,7,3,
Bryce Eldridge,130,21,5,0,6,20,34,1,0,L
Miguel Amaya,116,12,10,0,5,19,31,1,0,
Chandler Simpson,503,112,13,5,0,54,44,94,15,L
Jeremy Rodriguez,202,31,10,5,3,33,31,19,6,L
Edouard Julien,170,22,12,0,5,32,42,3,0,
Preston Tucker,240,29,13,3,11,43,43,1,0,
Jake Alu,347,62,22,1,5,31,49,17,3,
Diego Viloria,65,13,4,0,0,4,6,0,0,
Angel Acosta,141,24,7,1,2,16,20,1,4,
Carson Roccaforte,138,25,7,2,0,19,34,16,3,
Hector Osorio,223,36,8,1,1,49,26,17,4,
Sterlin Thompson,407,64,25,1,14,38,74,17,3,L
Joel Mendez,113,21,4,3,1,11,35,1,0,
Keiner Delgado,239,37,12,1,8,36,31,36,7,
Nick Maton,175,25,12,1,3,27,37,3,1,
Luis De Leon,191,35,4,2,0,46,23,19,4,
Hector Rodriguez,499,84,25,10,16,28,94,18,6,L
Domingo Leyba,281,52,11,1,8,31,44,1,1,
Endy Rodriguez,53,3,6,1,2,10,20,1,1,
Andres Nolaya,142,25,8,2,1,16,33,9,4,
Roiner Quintana,147,29,4,1,2,23,28,10,4,
Coby Morales,49,4,7,0,1,8,15,0,1,
Jose Dilone,128,24,3,2,2,20,41,5,1,
David Guzman,231,43,11,1,2,27,25,8,2,
Turner Hill,355,66,20,4,0,37,31,27,9,
Roni Cabrera,139,17,10,4,2,20,26,7,1,R
Dylan Crews,159,26,9,0,5,14,38,4,6,R
Tyler Fitzgerald,544,86,26,7,22,54,133,32,3,
Alejo Lopez,558,97,30,2,7,79,76,18,4,
Spencer Packard,550,93,27,2,14,68,86,1,1,L
Ronny Mauricio,532,87,30,3,23,35,97,24,7,S
Mark Mathias,204,37,8,0,4,30,50,4,2,
Jairo Mendez,107,17,5,3,3,9,34,4,4,
Juan Hernandez,173,32,9,0,1,24,29,6,5,
Marcos Terrero,59,8,6,0,0,9,13,1,0,
Alexander Requena,30,5,2,0,0,5,6,0,0,
Anyelo Gonzalez,173,34,5,2,3,15,32,3,2,
Drew Millas,328,56,15,3,7,42,49,6,2,S
Dominic Fletcher,334,48,18,5,10,42,62,5,2,L
Jorge Alfaro,278,48,17,2,7,14,65,5,0,
Matt Wallner,305,40,20,3,11,39,87,0,0,
Juan Machado,178,27,3,5,2,47,39,29,7,
Abraham Toro,414,58,36,2,8,49,73,8,2,
Tyler Wade,400,72,20,1,6,47,86,42,9,
Enrique Bradfield,110,20,3,0,0,26,16,25,2,L
Martin Gimenez,68,14,1,0,1,10,21,0,1,
Javier Castillo,132,24,8,0,0,12,25,0,0,
Natanael Yuten,239,48,10,3,3,14,61,10,5,
Carlos Rodriguez,436,89,21,3,1,40,50,14,8,L
Luis Suisbel,284,40,10,4,12,38,82,4,1,
Luis Torres,198,35,9,3,3,24,57,0,0,
Ben Rortvedt,139,20,8,0,6,17,32,2,0,
Carlos Concepcion,133,25,5,0,4,13,29,3,3,
Aaron Schunk,508,89,24,6,14,44,122,12,7,
Kyle Isbel,37,5,2,0,2,6,6,0,0,
Bryce Windham,217,42,9,2,1,25,41,4,2,L
Reyden Hidalgo,110,20,6,1,0,15,10,11,0,
Thomas Sosa,143,22,7,3,4,17,31,5,4,
Nathaniel Ochoa Leyva,107,22,3,2,0,12,34,2,0,
Nick Zona,40,8,1,0,0,7,8,6,0,
Zach Arnold,108,19,4,2,2,11,21,8,0,
Connor Norby,633,100,40,3,21,57,137,10,4,R
Jose Hernandez,162,19,12,1,6,18,26,5,2,
Chuckie Robinson,413,76,16,2,13,32,77,7,2,
Blaze Alexander,328,51,15,2,10,42,88,2,2,R
Johnfrank Salazar,240,40,14,0,8,19,34,2,2,
Coby Mayo,614,69,45,3,29,93,148,5,1,R
R.J. Yeager,545,89,30,4,14,54,75,17,2,
Blaine Crim,582,85,31,5,22,71,107,1,0,
David Martin,381,74,13,0,3,56,46,1,3,
Owen Caissie,528,72,31,2,22,76,164,7,9,L
Carlos Rodriguez,99,21,1,1,1,14,22,3,1,
Andruw Musett,164,28,5,1,3,30,23,1,0,
Max Anderson,145,22,12,1,2,12,26,2,0,R
Vinny Capra,262,47,13,1,2,38,40,6,2,
Jesus Lopez,53,5,3,2,3,5,13,0,0,L
Drew Gilbert,513,78,26,3,18,58,97,12,5,L
Tres Gonzalez,531,94,22,0,9,80,95,28,8,
Jake Lamb,357,58,15,0,11,58,71,2,0,
Jon Singleton,364,48,15,1,22,63,75,1,1,
Daniel Murphy,176,37,7,0,1,20,20,0,0,
Kevin Novoa,66,14,1,0,0,11,8,1,0,
Dario Reynoso,137,18,8,1,3,30,41,12,0,
Cooper Ingle,69,10,5,0,0,17,8,2,1,
Luke Keaschall,140,18,10,1,3,19,25,11,0,R
Sandro Fabian,483,73,29,3,23,23,73,6,2,
Pedro Catuy,192,33,10,2,4,15,33,18,2,
Miguel Vargas,285,43,15,0,10,46,57,8,0,
Evan Carter,513,85,17,6,13,81,111,26,11,L
Tyler Locklear,375,50,25,1,13,47,76,12,0,R
Julio Meza,135,24,7,2,3,6,29,0,1,
Kevin Sim,139,25,8,0,3,10,33,2,2,R
Torin Montgomery,385,65,20,2,4,58,82,5,3,
Wilfredo Flores,202,47,7,1,0,10,33,4,5,
Brahian Silva,78,15,4,0,0,6,17,2,2,
Brandon Winokur,71,10,5,0,4,4,23,0,1,R
Edrick Felix,76,13,2,1,3,6,23,1,1,
Max Schrock,159,25,10,1,4,16,21,2,1,
Franchy Cordero,350,56,14,1,13,53,77,8,1,
Donovan Antonia,88,14,4,0,3,12,18,2,0,
Masyn Winn,498,88,15,7,18,44,83,17,2,R
Dylan Beavers,526,76,35,6,11,70,116,27,10,L
Curtis Mead,292,38,22,2,9,36,49,4,2,R
Damon Dues,313,56,16,0,1,54,63,31,5,
Jose Meza,235,38,7,1,4,55,51,3,4,
Adael Amador,322,49,15,3,12,39,37,15,5,S
James Triantos,363,69,15,3,4,35,39,16,4,R
Colson Montgomery,294,39,14,3,8,56,56,2,3,L
Hudson Haskin,137,22,7,1,3,10,44,8,1,R
Dominic Keegan,448,70,20,4,13,59,90,2,1,R
Jonah Cox,145,29,3,3,2,9,41,20,2,
Luiyin Alastre,163,30,7,1,1,22,18,8,5,
Andrew Cossetti,392,46,23,4,15,64,79,1,0,
Alain Camou,186,32,13,0,0,24,35,2,2,
Matt Koperniak,567,107,15,3,18,59,88,11,6,
Oscar Gonzalez,362,56,23,4,13,19,83,2,0,
Eddy Alvarez,259,36,14,2,7,37,58,17,2,
Peyton Wilson,562,96,33,5,6,55,101,19,7,
Tatem Levins,279,43,18,1,9,29,57,0,0,
Wilfred Veras,564,92,39,2,17,28,145,24,7,R
Trenton Brooks,523,69,31,1,22,78,77,7,0,
Colby Thomas,564,82,39,6,18,37,146,25,6,
Zach DeLoach,623,96,30,2,23,83,173,8,3,
Ben Gamel,332,47,17,1,13,53,73,6,4,
Jazz Chisholm,19,2,2,0,0,5,2,2,0,
Johnathan Rodriguez,565,83,26,4,29,59,163,3,2,
Junior Gonzalez,26,3,2,0,1,3,9,0,0,
Ilvin Fernandez,22,5,1,0,0,0,8,0,0,
Jose Estrada,24,3,3,0,0,2,6,0,0,
Jose Caguana,125,21,4,2,5,10,49,5,0,
Manuel Palencia,117,27,3,0,0,10,5,0,1,
Leonardo Rondon,92,18,2,1,1,11,11,4,2,
Kyle Hayes,22,2,1,1,0,5,3,0,0,
Moises De La Rosa,183,28,7,2,5,26,38,5,3,
Luis Lara,397,80,13,3,2,44,61,30,10,S
Luis Colon,129,21,6,3,0,23,17,13,5,
Daniel Silva,17,3,0,0,1,3,2,0,0,
Angel Cepeda,117,18,4,3,1,18,28,5,1,
Felix Morrobel,171,40,4,2,0,8,13,11,8,
Adrian Ibarra,175,34,10,1,1,10,37,9,3,
Zyhir Hope,43,7,0,0,3,8,13,3,1,
Bo Davidson,58,8,4,1,1,9,11,0,0,
A.J. Ewing,21,3,1,0,0,5,6,1,0,L
Kevin Bruggeman,23,4,1,1,0,2,7,1,0,
Xavier Isaac,433,60,20,4,19,64,92,12,0,L
Kenneth Betancourt,388,83,15,0,3,27,58,15,2,
Miguel Palma,290,51,15,0,7,23,55,3,1,R
Brett Wisely,280,36,20,1,6,47,64,7,3,
Moises Ballesteros,494,79,27,0,14,63,78,7,0,L
Brennan Milone,488,68,28,1,17,72,92,3,1,
Ricardo Olivar,449,66,28,2,10,59,93,12,1,R
Guillermo Williamson,229,29,15,0,9,38,67,1,0,
Brock Wilken,203,30,8,4,5,33,47,4,0,R
John Gil,199,33,9,2,1,33,34,20,3,
Anthony Bemboom,155,30,4,2,3,17,29,1,1,
Bill Knight,313,58,11,1,6,28,79,36,5,
Corey Rosier,444,75,25,6,7,37,96,49,8,L
Kyle Karros,156,32,4,1,0,22,25,3,0,
Williams Wong,161,27,7,1,0,32,33,6,3,
Tirso Ornelas,552,88,31,2,15,67,106,8,6,L
Alex Jackson,248,36,11,1,16,18,62,0,0,
Tyler Black,558,73,25,12,18,88,100,55,12,L
Josh Kasevich,383,76,15,0,4,38,41,11,2,R
Andrew Kachel,373,59,24,2,6,45,97,10,1,
Nick Podkul,231,28,9,3,14,32,46,0,0,
Yonathan Perlaza,543,65,40,3,23,76,119,13,5,
Lawrence Butler,412,67,19,3,15,38,78,21,2,
Nacho Alvarez,501,88,24,0,7,66,87,16,5,R
Marcos Castanon,557,85,39,1,17,47,119,1,0,R
Daniel Guilarte,287,61,6,2,0,36,68,31,8,
Tyler Robertson,371,60,16,5,9,25,98,31,5,
Kevin Alcantara,435,69,26,3,13,36,105,15,4,R
Heribert Silva,171,34,4,1,3,19,24,11,1,
Darren Baker,479,104,11,4,3,43,79,21,6,L
Jackson Glenn,397,67,19,3,12,31,71,7,2,
Josue De Paula,340,61,15,2,2,46,61,14,3,L
Estevan Florial,482,61,23,4,28,66,144,25,10,
Cody Milligan,315,51,16,5,4,38,68,24,4,L
Santiago Gomez,184,26,10,0,2,31,33,20,3,
Jared Serna,563,94,28,3,19,49,90,29,8,
Justin Janas,491,94,22,3,4,38,79,9,4,
Kristian Robinson,272,40,8,4,14,29,86,23,7,
Eguy Rosario,195,31,11,1,6,21,40,4,5,R
Yelserth Ayala,126,26,6,0,0,11,22,16,6,
Brett Bateman,141,29,3,0,0,26,19,14,1,
Pete Crow-Armstrong,500,71,26,7,20,46,129,37,10,L
Owen Miller,116,18,8,0,4,6,18,1,0,
Scott Schreiber,119,21,6,0,3,10,33,3,0,
Fernando Caldera,62,10,3,0,2,8,15,1,0,
Cooper Uhl,191,39,2,0,2,34,50,1,0,
Diosbel Arias,447,74,24,4,10,44,126,4,0,
Javier Roman,115,19,7,0,2,14,20,0,1,
Gino Groover,112,20,6,1,1,8,10,1,1,R
Tai Peete,109,21,4,1,2,10,30,6,1,L
Grae Kessinger,238,38,10,0,6,36,49,2,1,R
Xavier Guillen,159,29,4,5,1,17,41,12,5,
Jackson Chourio,583,99,26,3,22,43,104,44,9,R
Tucker Mitchell,313,52,10,1,11,36,75,5,1,
Carlos Jorge,450,73,14,10,12,52,100,32,9,L
Emil Turbi,216,29,17,1,1,32,46,12,3,
Tim Lopes,550,96,23,2,13,72,123,42,8,
Dominic Gonnella,46,7,1,1,2,4,16,2,0,
Yemal Flores,48,5,4,1,1,8,16,0,2,
Caleb Cali,45,6,3,0,2,6,13,1,0,
Ismael Munguia,379,70,16,0,7,28,50,18,5,
Matt Mervis,441,56,23,1,22,67,100,2,1,L
Filippo Di Turi,222,40,9,2,0,38,32,12,8,
Robbie Tenerowicz,586,93,26,0,19,62,99,2,3,
Michael Curialle,457,72,28,5,2,51,108,10,7,
Danny Mendick,425,75,18,1,11,46,60,14,2,
Mason Bolivar,161,32,6,0,0,22,16,2,2,
Angelo Castellano,386,55,21,1,15,53,60,12,4,
Aneudis Mordan,153,21,7,0,8,20,32,2,0,
Luis Ariza,69,12,5,0,1,4,14,0,0,
Christopher Suero,83,13,1,1,3,14,18,3,0,
Yoffry Solano,75,12,3,2,1,8,12,2,1,
Jeisel Vargas,36,5,3,0,1,4,9,3,2,
Chase Jaworsky,38,9,0,0,0,6,6,0,0,L
Ryan Ritter,525,71,25,4,24,62,152,20,5,
Nick Gonzales,443,57,27,8,14,53,118,4,3,
Tanner Morris,411,70,21,0,6,61,81,1,1,L
Joseph Rodriguez,157,22,8,3,1,29,47,7,1,
Chris Okey,235,45,6,2,6,16,48,2,2,
Elijah Nunez,114,23,2,0,0,22,20,20,3,
David Leon,81,13,0,3,0,22,12,4,2,
Anibal Salas,153,22,4,1,5,33,36,8,3,
Isaac Pena,165,30,5,3,1,24,28,11,0,
Tanner Murray,247,33,21,2,6,23,52,1,1,
Antonis Macias,197,36,10,0,0,23,45,12,8,
Jose Monzon,205,34,6,1,5,35,30,6,3,
Franyerber Montilla,127,20,6,1,3,17,22,11,5,
Beau Brewer,195,42,2,0,0,35,12,3,1,
Felix Tena,193,39,10,2,0,9,36,10,5,
Ismael Javier,216,31,8,3,9,29,37,8,4,
Canaan Smith-Njigba,445,65,28,1,15,53,118,21,5,L
Bryce Johnson,298,47,13,4,8,34,70,18,4,S
Nick Loftin,384,64,14,0,15,40,51,7,4,R
Jean Ramirez,442,86,10,4,7,45,105,34,20,
Jorge Polanco,60,11,2,0,1,8,16,0,0,
Luis Campusano,30,3,3,0,1,5,4,0,0,
Cristian Gonzalez,27,3,2,0,2,2,1,0,0,
Seth Stephenson,505,85,21,9,4,42,108,70,15,
Drew Cavanaugh,64,13,1,0,0,10,17,1,0,
Brayan Rocchio,537,85,33,6,7,60,66,25,7,S
Cole Tucker,321,52,17,1,5,49,67,7,4,
Niko Goodrum,286,43,9,1,8,66,60,7,3,
Carlos Gonzalez,177,25,11,0,4,27,50,0,1,
Forrest Wall,411,69,16,6,8,52,90,52,8,
Andrew Navigato,306,39,26,2,11,20,59,8,8,
Moises Gallardo,109,15,8,1,2,14,34,3,0,
Yunior Garcia,176,34,5,1,5,10,45,0,0,
Logan Davidson,438,74,23,2,10,43,107,6,3,S
Alex Isola,465,72,22,0,20,50,100,5,2,
Winder Diaz,82,16,3,0,0,11,27,2,2,
Jarold Montealto,82,14,2,2,1,12,22,1,0,
Matt Beaty,186,28,9,0,6,19,30,0,0,
Nathan Church,518,98,24,2,3,46,60,21,12,
Willie Calhoun,45,9,2,0,1,2,5,0,0,
Brett Harris,461,73,23,3,9,50,69,10,1,
Hunter Feduccia,380,58,18,2,11,58,79,0,0,
Victor Reyes,546,90,28,2,20,36,124,3,1,
Aldalay Kolokie,210,37,8,0,1,26,26,17,6,
Zach Zubia,282,44,9,0,10,50,77,0,1,
Noelvi Marte,399,62,20,4,11,43,70,18,4,R
Maick Collado,297,54,12,1,1,41,43,11,0,
Javier Vaz,518,92,18,6,8,64,50,30,3,L
Mario Camilletti,496,81,23,0,3,98,79,1,3,
Mike Tauchman,103,15,4,0,3,21,21,1,0,
Blake Robertson,365,63,13,3,9,43,95,1,1,
Korey Lee,357,68,19,1,5,20,97,13,4,R
Joey Loperfido,540,75,27,3,25,65,134,27,4,L
Daniel Pena,117,18,4,0,5,15,14,0,0,
Jose Sibrian,244,34,16,0,9,18,41,0,0,
Yusniel Diaz,406,58,21,1,16,56,78,7,4,
Samuel Camacaro,127,27,5,0,0,9,23,8,1,
Jordan Lawlar,490,69,23,4,20,56,101,36,5,R
Trevor Schwecke,349,54,19,1,8,38,74,13,2,
Caleb Roberts,434,54,23,8,17,58,114,11,3,
Hunter Stovall,432,77,18,4,8,39,62,15,6,
Jesus Garcia,22,4,1,0,0,3,8,0,0,
Manuel Guariman,41,8,2,0,0,3,3,1,0,
Chris Meyers,445,68,23,1,18,33,95,4,1,
Jhon Imbert,142,17,7,1,5,30,40,17,1,
Brayan Oropeza,59,12,3,0,0,3,10,0,0,
Maykel Minoso,190,39,6,0,0,22,16,1,1,
Garret Forrester,29,5,0,0,0,10,7,0,0,
Tsung-Che Cheng,535,82,23,10,13,52,100,26,12,L
Jake Thompson,397,57,15,3,18,47,72,6,0,
David Dahl,313,43,26,0,9,31,50,3,0,
Adriander Mejia,178,33,9,0,1,19,27,1,2,
Nic Kent,456,72,24,2,11,41,69,9,5,
Jose Perez,171,18,5,7,3,42,32,3,4,
Nixson Cueche,132,26,5,2,0,11,13,2,2,
Tucker Bradley,357,51,22,4,7,43,76,11,4,
Justyn-Henry Malloy,611,86,25,1,23,110,152,5,1,R
Railin Tejada,208,38,8,4,1,19,51,2,2,
Jeffry Rosa,182,13,13,0,15,16,46,1,1,
Zach Daniels,364,56,21,0,13,32,114,22,5,R
Jackson Merrill,511,85,25,4,15,35,62,15,4,L
Andy Pages,146,15,12,1,3,26,34,7,3,R
Cole Young,606,83,34,9,11,88,90,22,10,L
Jack Lopez,380,59,18,6,13,26,89,10,6,
Stuart Fairchild,114,19,2,1,4,11,27,3,1,
Caleb Knight,61,11,1,0,1,11,11,0,0,
Angel Mata,169,28,10,1,0,22,23,3,4,
Nicandro Aybar,222,39,5,5,3,29,33,11,6,
Enrique Jimenez,170,24,11,3,1,24,30,3,2,
Axell De Paula,143,25,6,0,3,10,40,6,3,
Matt Higgins,429,66,23,1,12,43,97,10,3,
Jaeden Calderon,152,20,8,3,3,24,34,13,5,
Ryan Galanie,137,24,6,2,2,8,26,4,1,
J.J. D'Orazio,441,74,23,4,9,35,89,2,0,R
Yu Chang,81,16,2,0,3,5,17,2,0,
Ricardo Pena,88,15,5,0,1,7,14,3,1,
David McCabe,524,80,23,1,17,80,113,10,2,S
Fadriel Cruz,221,36,3,5,6,36,52,18,5,
Patrick Bailey,120,22,3,0,4,13,28,3,0,
Anthony Baptist,136,18,3,6,2,25,29,12,6,
Jose Devers,420,69,21,6,7,36,62,5,2,
Max Schuemann,498,75,20,6,10,73,106,23,9,
Devin Mann,550,64,42,1,20,79,149,4,1,
Tyler Tolbert,574,99,24,10,10,40,127,50,8,
Hernan Perez,255,40,9,2,10,29,54,11,4,
D.J. Artis,35,7,0,1,0,4,8,5,1,
Brando Mayea,170,29,7,1,3,22,27,22,7,R
Isiah Gilliam,523,73,21,1,25,77,161,25,7,
Jesus Aguilar,252,45,9,0,5,34,52,0,0,
Taylor Kohlwey,518,75,29,2,12,75,86,15,5,
Nelson Rada,540,100,13,6,2,73,98,55,11,L
Jack Hurley,147,23,9,1,2,16,44,10,1,L
Lonnie White,276,36,16,1,9,43,75,18,3,R
Tristan Peters,415,66,22,5,7,42,66,14,5,L
Brooks Lee,567,80,39,3,16,56,91,7,4,S
Abel Lorenzo,198,28,12,2,4,24,54,4,5,
Nick Martini,417,57,20,3,15,60,87,0,1,
Miguel Sosa,103,14,3,0,2,30,23,0,1,
Yoiber Ocopio,193,27,6,3,2,36,29,3,0,
Luke Waddell,577,102,18,3,8,85,72,29,10,L
Kyle Stowers,312,39,10,1,21,43,80,3,2,
Liam Hicks,372,62,15,1,4,59,63,7,0,
Wuilfredo Antunez,384,63,17,7,6,39,72,11,6,L
Davis Schneider,392,42,21,1,21,72,86,9,3,
Jack Brannigan,374,49,14,3,19,53,112,24,3,R
Alex Call,50,7,3,0,1,7,4,3,0,
Akil Baddoo,49,6,3,1,1,8,10,2,1,
Miguel Hiraldo,354,55,21,0,12,26,111,16,5,
Samuel Escudero,141,22,8,1,2,18,18,3,1,
Ezequiel Surun,182,36,8,0,0,9,41,16,8,
Colby Smelley,190,39,4,0,1,21,38,0,0,
Jjam Alvarez,89,21,1,0,0,7,26,5,3,
Jared Wegner,88,11,7,0,4,8,25,1,1,
Omar Alfonzo,213,32,9,1,5,39,51,3,1,
Ramon Mendoza,277,43,14,1,6,30,56,2,3,
Sal Stewart,518,81,24,0,12,84,77,15,4,R
Max Muncy,545,86,35,0,10,52,146,13,3,R
Marco Vargas,250,36,14,1,2,53,38,13,4,L
Haydn McGeary,532,77,23,1,19,80,121,7,3,R
Luis Rodriguez,336,58,16,2,5,34,95,11,2,
Patrick Frick,114,22,6,0,0,5,22,2,1,
Jose Tena,428,66,25,2,8,45,121,16,8,L
Adrian Meza,217,43,5,0,0,31,19,13,5,
Jorge Barrosa,502,72,20,8,13,80,82,15,7,S
Dalton Guthrie,343,60,15,3,4,33,73,7,4,
Wilyer Abreu,363,48,11,1,22,59,74,8,1,L
Fabian Urbina,80,11,4,0,2,11,11,1,1,
Diego Omana,75,11,5,0,1,11,21,0,1,
Arturo Disla,77,11,3,0,3,9,13,0,0,
Cooper Kinney,505,91,24,0,10,42,107,3,5,L
Jakob Marsee,568,90,16,3,16,98,97,46,9,L
Tayden Hall,253,45,9,0,0,49,45,6,3,
Billy McKinney,160,23,5,0,9,22,32,3,1,
Gabriel Araujo,161,32,4,0,1,16,20,16,4,
Johanfran Garcia,247,36,13,2,6,24,61,6,1,
Yemil Rosario,186,30,7,1,2,32,47,12,5,
Colton Ledbetter,86,12,6,0,2,12,17,3,2,L
Wenceel Perez,525,83,25,6,9,63,86,26,7,
Joan Delgado,175,24,12,3,4,11,57,9,3,
Ronald Hernandez,230,30,11,1,4,53,50,4,1,S
Fraymi De Leon,104,21,2,0,0,16,27,14,2,
Zion Pettigrew,99,18,3,1,1,12,21,8,2,
Cristopher Larez,97,14,8,0,1,10,29,9,3,R
Jonathon Long,102,12,4,0,7,14,18,0,0,
Jean Carlos Sio,215,39,5,2,3,31,32,8,2,
Enger Castellano,101,18,7,0,1,4,23,5,0,
Mark Contreras,381,65,17,1,10,36,99,23,8,
Yeiner Fernandez,433,79,14,3,6,47,56,4,2,R
Yeison Morrobel,151,32,2,0,1,22,34,12,3,
Jo Adell,330,37,15,0,24,40,87,9,1,
Tomas Nido,161,33,3,0,5,11,30,0,0,
Joselin Payano,184,28,10,2,1,27,38,1,1,
Brett Roberts,373,69,16,4,5,22,77,20,2,
Seth Beer,438,66,22,0,15,40,104,0,0,
Capri Ortiz,230,42,8,3,0,29,68,30,7,S
Alexander Canario,233,31,15,1,9,25,64,2,0,R
Samuel Munoz,240,40,10,7,2,21,41,9,2,L
Clay Dungan,329,56,14,1,3,50,68,16,2,
Andre Lipcius,444,73,17,2,12,56,79,1,1,R
Francisco Ortiz,91,16,4,0,1,9,24,0,0,
Kevin Richards,48,11,1,0,0,4,15,1,1,
Milkar Perez,382,59,26,1,1,50,93,2,0,
Jackie Pertuz,38,6,3,0,0,3,11,0,0,
Ramiro Altagracia,187,33,6,2,4,18,51,8,3,
Jefferson Valladares,86,12,3,0,3,11,16,4,0,
Hao-Yu Lee,329,56,14,2,6,33,65,16,5,R
Esmith Pineda,197,28,14,2,1,25,41,5,2,
Yirber Ruiz,87,10,4,2,2,17,14,4,2,
Josh Hood,512,87,20,3,13,56,108,18,4,
Yeycol Soriano,134,18,9,1,2,19,23,6,3,
Idalberto Santiesteban,101,22,2,0,0,11,23,12,4,
Cristopfer Gonzalez,131,21,4,3,2,16,25,1,6,
Jhocsuanth Vargas,126,21,7,0,2,11,19,4,1,
Estarling Mercado,12,2,1,0,0,0,4,1,0,
Devin Hurdle,100,20,3,0,1,9,28,4,1,
Caden Grice,14,2,0,0,1,3,4,1,0,L
Jason Lopez,26,4,1,0,1,3,7,0,0,
Thayron Liranzo,418,44,24,2,24,70,112,2,1,S
Darius Hill,372,64,21,4,2,33,56,3,1,
Oscar Colas,238,35,14,0,9,22,53,2,0,
Willie MacIver,255,35,14,3,3,44,67,16,4,
Yohander Linarez,208,38,10,4,0,14,35,0,1,
Javier Francisco,189,20,13,0,7,36,38,2,2,
Roman Anthony,491,63,27,4,14,86,119,16,7,L
Trey Lipscomb,547,94,29,2,14,27,103,10,6,R
Cesar Hernandez,164,26,8,0,0,37,34,7,2,
Kevin Plawecki,269,46,14,1,4,26,47,0,0,
Vidal Brujan,276,40,11,4,10,31,49,19,14,
Yunior Severino,528,72,17,3,35,51,173,3,4,S
Victor Bericoto,513,72,22,3,27,43,114,1,1,R
Jesus Castro,141,17,9,0,5,26,27,3,0,
Colby Halter,131,23,7,1,0,16,36,4,1,
Noah Cardenas,378,57,23,1,3,55,77,9,5,R
Javier Osorio,117,15,6,2,5,11,40,11,2,
David Villar,334,47,14,0,17,44,89,5,0,
Ivan Melendez,426,49,22,2,30,31,146,4,2,R
Jarol Martinez,113,19,5,1,0,16,18,5,1,
Yael Romero,131,17,7,0,1,35,29,1,0,
Joe Perez,502,82,15,2,20,57,133,5,3,R
Cristofer Torin,282,56,4,2,4,35,39,21,4,R
Danny Puerta,96,16,6,0,0,13,19,3,1,
Benjamin Blackwell,89,18,2,0,2,8,22,4,3,
Erik Gonzalez,493,95,21,2,5,32,104,3,4,
Andruw Monasterio,178,28,6,0,4,32,29,11,2,
Cesar Izturis,80,10,6,1,2,9,7,1,2,
Kendall Simmons,252,31,13,4,9,28,63,5,3,
Leandro Arias,162,26,7,2,3,20,20,12,2,S
Daniel Benschop,76,11,5,2,1,3,14,6,2,
Karniel Pratt,179,25,5,3,5,34,53,22,5,
Erick Bautista,178,20,9,0,9,28,62,8,4,
Danny Bautista,475,96,17,2,3,22,48,22,11,
Agustin Ramirez,492,73,24,0,18,61,85,12,4,R
Yohenny Mata,66,12,3,1,0,5,11,1,0,
Jimmy Crooks,477,70,29,1,12,52,101,2,1,
C.J. Kayfus,77,8,4,0,4,15,12,5,2,
Juan Brito,555,79,31,1,14,78,88,7,8,S
Jordan Beck,564,71,34,2,25,73,142,20,5,R
Nate Baez,137,20,7,0,2,27,42,1,0,
Trevor Larnach,323,41,14,1,15,50,90,2,2,
Oliver Dunn,505,61,27,4,21,82,139,16,5,
Juan Benjamin,413,77,16,1,3,49,81,24,10,S
Yolbert Sanchez,445,92,14,1,3,28,75,6,6,R
Luis Vazquez,528,79,24,0,20,54,121,10,10,
Juan Centeno,273,56,11,0,1,20,72,4,1,
Tanner Allen,387,70,11,4,9,36,59,8,2,
Rob Brantly,177,28,10,0,1,18,21,0,0,
Lenyn Sosa,308,44,17,0,17,18,75,0,1,
Cam Devanney,390,51,27,2,11,46,71,6,5,
Jesus Torres,50,10,1,1,1,1,11,3,1,
Gabriel Terrero,226,26,14,4,8,27,75,6,7,
Carlos Sanchez,194,21,14,3,1,47,52,9,4,L
Tommy Troy,115,16,5,1,4,16,28,9,0,R
Daniel Johnson,537,76,28,4,19,53,98,30,8,
