name,team
Corbin Carroll,ARI
Jake McCarthy,ARI
Joc Pederson,ARI
Josh Bell,ARI
Lourdes Gurriel,ARI
Adrian Del Castillo,ARI
Eugenio Suarez,ARI
Luis Guillorme,ARI
Geraldo Perdomo,ARI
