name,team
Tommy Pham,KC
Bobby Witt,KC
Michael Massey,KC
Salvador Perez,KC
Paul DeJong,KC
MJ Melendez,KC
Freddy Fermin,KC
Maikel Garcia,KC
Kyle Isbel,KC
