name,team
Gleyber Torres,NYY
Juan Soto,NYY
Aaron Judge,NYY
Giancarlo Stanton,NYY
Jazz Chisholm,NYY
Anthony Volpe,NYY
Jose Trevino,NYY
Alex Verdugo,NYY
DJ LeMahieu,NYY
