name,team
Corey Julks,CWS
Luis Robert,CWS
Andrew Benintendi,CWS
Andrew Vaughn,CWS
Gavin Sheets,CWS
Korey Lee,CWS
Lenyn Sosa,CWS
Miguel Vargas,CWS
Jacob Amaya,CWS
