name,team
Luis Arraez,SD
Jurickson Profar,SD
Xander Bogaerts,SD
Manny Machado,SD
Donovan Solano,SD
Jackson Merrill,SD
Kyle Higashioka,SD
Bryce Johnson,SD
Mason McCoy,SD
