name,team
Willi Castro,MIN
Royce Lewis,MIN
Jose Miranda,MIN
Carlos Santana,MIN
Brooks Lee,MIN
Kyle Farmer,MIN
Christian Vazquez,MIN
Matt Wallner,MIN
Austin Martin,MIN
