name,team
Whit Merrifield,ATL
Jorge Soler,ATL
Marcell Ozuna,ATL
Matt Olson,ATL
Ramon Laureano,ATL
Michael Harris,ATL
Orlando Arcia,ATL
Sean Murphy,ATL
Gio Urshela,ATL
