name,team
Isiah Kiner-Falefa,PIT
Bryan Reynolds,PIT
Oneil Cruz,PIT
Andrew McCutchen,PIT
Rowdy Tellez,PIT
Nick Gonzales,PIT
Bryan De La Cruz,PIT
Yasmani Grandal,PIT
Jared Triolo,PIT
