name,team
Dylan Crews,WAS
Jose Tena,WAS
Andres Chaparro,WAS
James Wood,WAS
Juan Yepez,WAS
CJ Abrams,WAS
Keibert Ruiz,WAS
Ildemaro Vargas,WAS
Jacob Young,WAS
